L,L_ext,gam1s,gam2s,PLgam1,PLgam2,gam1_inf,gam2_inf
nan,162.7638190954774,nan,nan,138.01112379404657,97.32337273014863,nan,nan
nan,163.71859296482413,nan,nan,138.01137259899747,97.32353134254252,nan,nan
nan,164.67336683417085,nan,nan,138.01161708880372,97.32368720404494,nan,nan
nan,165.6281407035176,nan,nan,138.01185736267772,97.32384037790344,nan,nan
nan,166.58291457286433,nan,nan,138.01209351699677,97.32399092555828,nan,nan
nan,167.53768844221105,nan,nan,138.01232564539984,97.32413890670404,nan,nan
nan,168.4924623115578,nan,nan,138.01255383888042,97.32428437934874,nan,nan
nan,169.44723618090453,nan,nan,138.0127781858756,97.32442739987079,nan,nan
nan,170.40201005025125,nan,nan,138.01299877235186,97.32456802307355,nan,nan
nan,171.356783919598,nan,nan,138.01321568188746,97.32470630223791,nan,nan
nan,172.31155778894473,nan,nan,138.0134289957515,97.32484228917266,nan,nan
nan,173.26633165829145,nan,nan,138.01363879298015,97.32497603426313,nan,nan
nan,174.2211055276382,nan,nan,138.01384515044984,97.32510758651782,nan,nan
nan,175.17587939698493,nan,nan,138.01404814294773,97.32523699361327,nan,nan
nan,176.13065326633165,nan,nan,138.01424784323942,97.32536430193736,nan,nan
nan,177.0854271356784,nan,nan,138.01444432213415,97.32548955663077,nan,nan
nan,178.04020100502512,nan,nan,138.01463764854773,97.3256128016271,nan,nan
nan,178.99497487437188,nan,nan,138.0148278895628,97.32573407969133,nan,nan
nan,179.9497487437186,nan,nan,138.01501511048713,97.32585343245697,nan,nan
nan,180.90452261306532,nan,nan,138.01519937490963,97.32597090046174,nan,nan
nan,181.85929648241208,nan,nan,138.0153807447544,97.32608652318208,nan,nan
nan,182.8140703517588,nan,nan,138.0155592803327,97.32620033906623,nan,nan
nan,183.76884422110552,nan,nan,138.01573504039314,97.32631238556627,nan,nan
nan,184.72361809045228,nan,nan,138.01590808217006,97.32642269916887,nan,nan
nan,185.678391959799,nan,nan,138.01607846143,97.32653131542507,nan,nan
nan,186.63316582914572,nan,nan,138.01624623251675,97.32663826897884,nan,nan
nan,187.58793969849248,nan,nan,138.01641144839465,97.3267435935948,nan,nan
nan,188.5427135678392,nan,nan,138.01657416069037,97.32684732218479,nan,nan
nan,189.49748743718592,nan,nan,138.0167344197333,97.32694948683364,nan,nan
nan,190.45226130653268,nan,nan,138.01689227459445,97.32705011882398,nan,nan
nan,191.4070351758794,nan,nan,138.01704777312398,97.3271492486601,nan,nan
nan,192.36180904522612,nan,nan,138.0172009619875,97.32724690609126,nan,nan
nan,193.31658291457288,nan,nan,138.01735188670116,97.3273431201338,nan,nan
nan,194.2713567839196,nan,nan,138.01750059166528,97.32743791909282,nan,nan
nan,195.22613065326632,nan,nan,138.0176471201972,97.32753133058299,nan,nan
nan,196.18090452261308,nan,nan,138.01779151456276,97.3276233815486,nan,nan
nan,197.1356783919598,nan,nan,138.01793381600666,97.32771409828308,nan,nan
nan,198.09045226130652,nan,nan,138.0180740647821,97.32780350644774,nan,nan
nan,199.04522613065328,nan,nan,138.01821230017921,97.32789163108986,nan,nan
nan,200.0,nan,nan,138.01834856055248,97.32797849666032,nan,nan
